"","Tick","MeanSteps","SDSteps"
"1",1,40.6375,32.1501336505776
"2",2,26.02,20.96102573826
"3",3,23.9625,15.0371571033224
"4",4,22.3125,15.4683497422964
"5",5,23.665,17.4787807069029
"6",6,20.28,13.8044050940271
"7",7,20.7775,15.8916013588939
"8",8,18.7575,14.7860979893277
"9",9,18.5275,14.1571269595918
"10",10,16.8925,14.8978503063361
