"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,11.332,5.58657104134549,38.668,5.58657104134549
"2",2,10.968,5.30197849863615,37.032,5.30197849863615
"3",3,10.194,5.26026273108102,35.806,5.26026273108102
"4",4,9.916,5.26658750995367,34.084,5.26658750995367
"5",5,9.366,4.90000448979386,32.634,4.90000448979386
"6",6,8.516,4.93940725188762,31.484,4.93940725188762
"7",7,8.10526315789474,4.64729391369016,29.8947368421053,4.64729391369016
"8",8,7.42947368421053,4.50856199934514,28.5705263157895,4.50856199934514
"9",9,6.69263157894737,4.29200583963068,27.3073684210526,4.29200583963068
"10",10,6.06947368421053,4.02719893995058,25.9305263157895,4.02719893995058
