"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,41.932,8.70513503628749,8.068,8.70513503628749
"2",2,41.164,7.70850854575644,6.836,7.70850854575644
"3",3,39.24,7.543367948072,6.76,7.543367948072
"4",4,37.454,7.25436999332127,6.546,7.25436999332127
"5",5,34.88,7.23502591564121,7.12,7.23502591564121
"6",6,32.742,7.29420564557924,7.258,7.29420564557924
"7",7,31.074,6.71196871268036,6.926,6.71196871268036
"8",8,28.674,6.82625255905464,7.326,6.82625255905464
"9",9,27.044,6.62948444450999,6.956,6.62948444450999
"10",10,24.734,6.28404678531279,7.266,6.28404678531279
