"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",5.96825396825397,4.04721442110753,6,5.08057576976128,3.44525880304032,3780,189,"Run9"
"MWROW20-60",5.64153846153846,3.92555306471653,6,4.80245374347799,3.3416925435138,2600,130,"Run9"
"MWROW5-20",4.84,3.77353748956933,4,4.12013075456279,3.21228674881617,2700,135,"Run9"
"MWROW1-5",2.82549019607843,2.55545116213571,2,2.40524567222694,2.17537043902863,1020,51,"Run9"
"Grass/Pasure",55.584,65.8326586429562,26,47.3168074094252,56.0411490763384,500,25,"Run9"
"Corn_nonGMO",117.58,113.311709897962,81,100.091936801961,96.4584836369198,200,10,"Run9"
"Corn",3.15769230769231,5.61506716700173,2,2.68803826247302,4.77991961233462,520,26,"Run9"
"Soybeans_nonGMO",451.1,51.8207487402488,449,384.00640152547,44.1132769853657,20,1,"Run9"
"Soybeans",3.34285714285714,4.33222382447007,2,384.00640152547,44.1132769853657,420,21,"Run9"
"Developed/Open Space/Developed/Low Intensity",1.66666666666667,2.41637929325859,0,1.41877780804504,2.0569831902569,480,24,"Run9"
"Other",0.6625,1.13406073470516,0,0.563964178697902,0.965388122024956,160,8,"Run9"
"Forest",0.2,0.702376916856849,0,0.170253336965405,0.597910069511755,60,3,"Run9"
"MWROW0",0,0,0,0,0,2000,100,"Run9"
"High Intensity",0,0,0,0,0,20,1,"Run9"
