"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",17.6328042328042,20.5804803772788,12,4.48149592403871,5.23066766396384,3780,189,"Run22"
"MWROW20-60",17.2438461538462,20.0864803512066,12,4.38263960927117,5.10511423105048,2600,130,"Run22"
"MWROW5-20",12.6244444444444,19.1892638450145,6,3.2085875606658,4.87708061470716,2700,135,"Run22"
"MWROW1-5",7.4078431372549,13.6028521106429,4,1.88275321311421,3.4572564570152,1020,51,"Run22"
"Grass/Pasure",219.32,287.170920533399,120,55.7416547636597,72.9864230828702,500,25,"Run22"
"Corn_nonGMO",460.06,462.279954572984,369,116.927346756198,117.491563158707,200,10,"Run22"
"Corn",2.42307692307692,3.347479843371,2,0.615841315483971,0.850784542027612,520,26,"Run22"
"Soybeans_nonGMO",1477.1,413.312218546706,1540,375.414910867234,105.046083329531,20,1,"Run22"
"Soybeans",2.51904761904762,3.7093343065478,0,375.414910867234,105.046083329531,420,21,"Run22"
"Developed/Open Space/Developed/Low Intensity",13.4583333333333,19.6669756331663,4,3.42052603666296,4.99849428227823,480,24,"Run22"
"Other",1.9625,2.49471315986428,2,0.498782589247137,0.634048147417075,160,8,"Run22"
"Forest",0.4,0.952190457139047,0,0.101662693349735,0.242005616136677,60,3,"Run22"
"MWROW0",0,0,0,0,0,2000,100,"Run22"
"High Intensity",0,0,0,0,0,20,1,"Run22"
