"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,20.272,7.36844732626895,29.728,7.36844732626895
"2",2,20.422,7.31969370943894,27.578,7.31969370943894
"3",3,18.938,7.27269936131008,27.062,7.27269936131008
"4",4,18.194,6.85845201193389,25.806,6.85845201193389
"5",5,17.424,7.12658571828053,24.576,7.12658571828053
"6",6,15.852,6.38013291397601,24.148,6.38013291397601
"7",7,14.686,6.01908664167579,23.314,6.01908664167579
"8",8,14,6.16441400296898,22,6.16441400296898
"9",9,12.844,5.57060714823797,21.156,5.57060714823797
"10",10,11.838,5.35105185921422,20.162,5.35105185921422
