"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,21.328,9.32161016134015,28.672,9.32161016134015
"2",2,22.788,8.51181860708979,25.212,8.51181860708979
"3",3,21.748,8.09595553347472,24.252,8.09595553347472
"4",4,20.702,7.94526248779737,23.298,7.94526248779737
"5",5,19.746,7.64483381114331,22.254,7.64483381114331
"6",6,18.604,7.26823114657205,21.396,7.26823114657205
"7",7,17.682,6.83746122475294,20.318,6.83746122475294
"8",8,16.428,6.50851872548585,19.572,6.50851872548585
"9",9,15.102,6.41915851183004,18.898,6.41915851183004
"10",10,13.444,5.93993804681497,18.556,5.93993804681497
