"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.228,7.69961141876653,30.772,7.69961141876653
"2",2,18.684,7.11534566974789,29.316,7.11534566974789
"3",3,17.792,7.1108885520728,28.208,7.1108885520728
"4",4,17.138,6.71214987913709,26.862,6.71214987913709
"5",5,15.518,6.26894536584903,26.482,6.26894536584903
"6",6,15.086,6.57210803319605,24.914,6.57210803319605
"7",7,13.862,5.87749572522175,24.138,5.87749572522175
"8",8,12.902,5.64609564212297,23.098,5.64609564212297
"9",9,12.146,5.30270534727322,21.854,5.30270534727322
"10",10,11.432,5.45796445572889,20.568,5.45796445572889
