"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",5.24814814814815,5.18083661190122,4,2.79793793751101,2.76205223162371,3780,189,"Run3"
"MWROW20-60",4.85,4.59521071752553,4,2.58567376793978,2.44983831143536,2600,130,"Run3"
"MWROW5-20",3.52888888888889,3.67658993909396,2,1.88135163504622,1.96009529092506,2700,135,"Run3"
"MWROW1-5",2.18039215686274,2.71502858886787,2,1.16242944408693,1.44745942297777,1020,51,"Run3"
"Grass/Pasure",109.944,160.800438009354,46,58.6142921118291,85.7273143162912,500,25,"Run3"
"Corn_nonGMO",300,317.624054504693,174,159.938583583904,169.334471298857,200,10,"Run3"
"Corn",1.2,2.24773390157903,0,0.639754334335615,1.19833125497357,520,26,"Run3"
"Soybeans_nonGMO",1287.5,357.048946224464,1381,686.40308788092,190.353009097554,20,1,"Run3"
"Soybeans",1.34285714285714,2.13063179285739,0,686.40308788092,190.353009097554,420,21,"Run3"
"Developed/Open Space/Developed/Low Intensity",2.4375,3.71262626047923,0,1.29950099161922,1.97930728492485,480,24,"Run3"
"Other",1.6875,2.30810392963575,0,0.899654532659459,1.23051624423461,160,8,"Run3"
"Forest",0.366666666666667,0.773879117749593,0,0.195480491046994,0.412577099860104,60,3,"Run3"
"MWROW0",0,0,0,0,0,2000,100,"Run3"
"High Intensity",0,0,0,0,0,20,1,"Run3"
