"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,22.164,7.56869235733624,27.836,7.56869235733624
"2",2,22.014,7.50758309977319,25.986,7.50758309977319
"3",3,20.804,6.96631782220708,25.196,6.96631782220708
"4",4,19.816,6.72652540320781,24.184,6.72652540320781
"5",5,18.874,6.94205473905241,23.126,6.94205473905241
"6",6,17.798,6.36578321968318,22.202,6.36578321968318
"7",7,16.574,6.23686812430726,21.426,6.23686812430726
"8",8,15.34,5.91442304878506,20.66,5.91442304878506
"9",9,13.92,5.82559868168071,20.08,5.82559868168071
"10",10,13.092,5.51430285711621,18.908,5.51430285711621
