"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,14.566,6.21318308115896,35.434,6.21318308115896
"2",2,14.398,6.29838042674464,33.602,6.29838042674464
"3",3,13.882,6.14931508381218,32.118,6.14931508381218
"4",4,12.624,5.90682859070754,31.376,5.90682859070754
"5",5,12.006,5.74630002697388,29.994,5.74630002697388
"6",6,11.368,5.3554249131138,28.632,5.3554249131138
"7",7,10.754,5.37731196788879,27.246,5.37731196788879
"8",8,10.08,5.20553551519918,25.92,5.20553551519918
"9",9,9.184,5.06262224543763,24.816,5.06262224543763
"10",10,8.61,4.77827374686717,23.39,4.77827374686717
