"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,41.552,9.13670049853885,8.448,9.13670049853885
"2",2,41.606,7.86338120658028,6.394,7.86338120658028
"3",3,39.88,7.76721314243404,6.12,7.76721314243404
"4",4,37.44,7.61724359594729,6.56,7.61724359594729
"5",5,34.968,7.64663167675807,7.032,7.64663167675807
"6",6,33.528,7.40494537454531,6.472,7.40494537454531
"7",7,31.004,7.51638104409296,6.996,7.51638104409296
"8",8,28.748,7.23716076925199,7.252,7.23716076925199
"9",9,26.826,6.9588593892965,7.174,6.9588593892965
"10",10,24.87,6.78462231815449,7.13,6.78462231815449
