"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",4.95238095238095,5.11361468802907,4,2.57976816814135,2.66375719541025,3780,189,"Run4"
"MWROW20-60",4.45,4.33791424534879,4,2.31807053185394,2.25968341165223,2600,130,"Run4"
"MWROW5-20",3.19703703703704,3.72435310297846,2,1.66538367298903,1.94007037713104,2700,135,"Run4"
"MWROW1-5",2.02745098039216,2.68460231336606,2,1.05612907245515,1.3984488791822,1020,51,"Run4"
"Grass/Pasure",119.06,172.493490891686,50,62.0201073084336,89.8543995893554,500,25,"Run4"
"Corn_nonGMO",301.9,323.73339339648,129,157.264155857686,168.637492002125,200,10,"Run4"
"Corn",1.08846153846154,1.95523496976252,0,0.566995644351481,1.01851068904648,520,26,"Run4"
"Soybeans_nonGMO",1430.1,343.687925304338,1389,744.960150023441,179.03210152854,20,1,"Run4"
"Soybeans",1.2952380952381,2.41394287036912,0,744.960150023441,179.03210152854,420,21,"Run4"
"Developed/Open Space/Developed/Low Intensity",2.30416666666667,3.77259627297818,0,1.2002743484225,1.96520095482533,480,24,"Run4"
"Other",1.475,2.40299292549937,0,0.768349221232484,1.25175440198956,160,8,"Run4"
"Forest",0.266666666666667,0.679869268479038,0,0.13891059366915,0.354153913881876,60,3,"Run4"
"MWROW0",0,0,0,0,0,2000,100,"Run4"
"High Intensity",0,0,0,0,0,20,1,"Run4"
