"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",7.58518518518519,5.78004161320336,6,4.88100872909305,3.71941262866846,3780,189,"Run15"
"MWROW20-60",7.49,5.53866618211669,6,4.81975778947504,3.56408938245112,2600,130,"Run15"
"MWROW5-20",5.7562962962963,4.43670059937616,4,3.70413269861153,2.85498294705098,2700,135,"Run15"
"MWROW1-5",3.33333333333333,3.14902204966574,2,2.14497453915222,2.02637163592859,1020,51,"Run15"
"Grass/Pasure",76.3,78.9714758631241,40,49.0984672011943,50.8175415137026,500,25,"Run15"
"Corn_nonGMO",177.15,162.153808157564,140,113.994671883245,104.344736977364,200,10,"Run15"
"Corn",1.84615384615385,3.01652254823724,0,1.18798589860738,1.94110921882423,520,26,"Run15"
"Soybeans_nonGMO",543.7,91.952759610574,525,349.866797081119,59.1708984508397,20,1,"Run15"
"Soybeans",2.05238095238095,2.83634893541798,0,349.866797081119,59.1708984508397,420,21,"Run15"
"Developed/Open Space/Developed/Low Intensity",3.95416666666667,5.61600979096567,2,2.54447604706932,3.61385940397528,480,24,"Run15"
"Other",0.75,1.19895788082818,0,0.48261927130925,0.771520238367704,160,8,"Run15"
"Forest",0.333333333333333,0.74535599249993,0,0.214497453915222,0.479630887955065,60,3,"Run15"
"MWROW0",0,0,0,0,0,2000,100,"Run15"
"High Intensity",0,0,0,0,0,20,1,"Run15"
