"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",3.45920356446672,2.81509305462686,4,4.11056344851905,3.34516844668924,3591,179.55,"Run6"
"MWROW20-60",3.46720647773279,2.85541205891424,4,4.12007329150461,3.39307942452437,2470,123.5,"Run6"
"MWROW5-20",2.88654970760234,2.578361445687,2,3.43008021912487,3.0638608333377,2565,128.25,"Run6"
"MWROW1-5",1.68008255933953,1.81974765298152,2,1.99643814832275,2.16240185015747,969,48.45,"Run6"
"Grass/Pasure",44.7536842105263,64.9488573061448,18,53.1806975432259,77.1785741689579,475,23.75,"Run6"
"Corn_nonGMO",101.915789473684,114.149639846161,43,121.106292598907,135.643748183284,190,9.5,"Run6"
"Corn",3.83400809716599,6.82078103853532,2,4.55594279198373,8.10511804374756,494,24.7,"Run6"
"Soybeans_nonGMO",470.842105263158,42.9605243007979,472,559.500564754091,51.0498898457565,19,0.95,"Run6"
"Soybeans",4.61152882205514,5.8799150436761,2,559.500564754091,51.0498898457565,399,19.95,"Run6"
"Developed/Open Space/Developed/Low Intensity",1.54824561403509,2.29364998538644,0,1.83977661672064,2.72553887561666,456,22.8,"Run6"
"Other",0.763157894736842,1.31657871066831,0,0.906858728921789,1.56448738107317,152,7.6,"Run6"
"Forest",0.210526315789474,0.613784409983716,0,0.250167925219804,0.729358568794966,57,2.85,"Run6"
"MWROW0",0,0,0,0,0,1900,95,"Run6"
"High Intensity",0,0,0,0,0,19,0.95,"Run6"
