"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",7.55185185185185,5.73499507657301,6,4.91055989534414,3.72915642089956,3780,189,"Run18"
"MWROW20-60",7.08846153846154,5.08223352800086,6,4.60924229358698,3.30470097016728,2600,130,"Run18"
"MWROW5-20",5.51703703703704,4.35406222825503,4,3.58743012266044,2.83121064598995,2700,135,"Run18"
"MWROW1-5",3.17058823529412,3.03287827556125,2,2.06166166104905,1.97211633909099,1020,51,"Run18"
"Grass/Pasure",78.84,84.4285165095301,42,51.2653783130023,54.8992876619308,500,25,"Run18"
"Corn_nonGMO",173.26,162.965678595218,131,112.661586079538,105.967746895218,200,10,"Run18"
"Corn",1.81153846153846,2.66369132582774,0,1.17794526330953,1.7320540782296,520,26,"Run18"
"Soybeans_nonGMO",547.4,87.285966798793,528,355.944547038781,56.7573326909727,20,1,"Run18"
"Soybeans",2.22380952380952,3.02645553520549,2,355.944547038781,56.7573326909727,420,21,"Run18"
"Developed/Open Space/Developed/Low Intensity",3.32083333333333,4.75363713089485,2,2.15935790395436,3.09103254538381,480,24,"Run18"
"Other",1.05,1.51575063912241,0,0.682758082555206,0.985610476189567,160,8,"Run18"
"Forest",0.4,0.952190457139047,0,0.260098317163888,0.619157838803448,60,3,"Run18"
"MWROW0",0,0,0,0,0,2000,100,"Run18"
"High Intensity",0,0,0,0,0,20,1,"Run18"
