"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",6.61111111111111,5.63925051620157,6,3.78054297492515,3.22478756816504,3780,189,"Run2"
"MWROW20-60",6.25307692307692,5.21320348083061,6,3.57580225712345,2.98115391876951,2600,130,"Run2"
"MWROW5-20",4.4562962962963,4.06565756892585,4,2.54831893973666,2.32493341925857,2700,135,"Run2"
"MWROW1-5",2.72156862745098,3.02488461782803,2,1.55632041004333,1.72977069961345,1020,51,"Run2"
"Grass/Pasure",96.648,133.184008409418,47,55.2678530582369,76.1608538870821,500,25,"Run2"
"Corn_nonGMO",240.21,240.76223935659,164,137.363328606066,137.679124935147,200,10,"Run2"
"Corn",1.41923076923077,2.28566085894871,0,0.81158262570953,1.30704793160067,520,26,"Run2"
"Soybeans_nonGMO",971.7,180.046966094961,973,555.663571069125,102.959287990622,20,1,"Run2"
"Soybeans",1.55714285714286,2.50790586680096,0,555.663571069125,102.959287990622,420,21,"Run2"
"Developed/Open Space/Developed/Low Intensity",2.79166666666667,4.3730154228963,2,1.59640575201671,2.50069503573831,480,24,"Run2"
"Other",1.6125,2.04324343875124,2,0.922103023926072,1.16842229673775,160,8,"Run2"
"Forest",0.433333333333333,1.03869576339219,0,0.24780029583543,0.593974886426753,60,3,"Run2"
"MWROW0",0,0,0,0,0,2000,100,"Run2"
"High Intensity",0,0,0,0,0,20,1,"Run2"
