"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,47.802,5.3228560003066,2.198,5.3228560003066
"2",2,46.706,3.67716793198244,1.294,3.67716793198244
"3",3,44.596,3.85600622406137,1.404,3.85600622406137
"4",4,42.558,3.73799892990889,1.442,3.73799892990889
"5",5,40.874,3.01862949034823,1.126,3.01862949034823
"6",6,38.512,3.59247212932822,1.488,3.59247212932822
"7",7,36.498,3.50371174613438,1.502,3.50371174613438
"8",8,34.212,4.03125985270114,1.788,4.03125985270114
"9",9,31.928,4.15533584683597,2.072,4.15533584683597
"10",10,29.772,4.13134554352453,2.228,4.13134554352453
