"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",9.02063492063492,6.62898857624342,8,5.8745685040018,4.31704063472356,3780,189,"Run5"
"MWROW20-60",8.71076923076923,6.35242226548686,8,5.67277259515821,4.13693050359278,2600,130,"Run5"
"MWROW5-20",6.66962962962963,4.98491463687192,6,4.34350758015397,3.2463593503731,2700,135,"Run5"
"MWROW1-5",4.17058823529412,3.43544352347682,4,2.71604011311598,2.23728689807939,1020,51,"Run5"
"Grass/Pasure",68.416,63.1051419774966,42,44.5550099639215,41.0963843191949,500,25,"Run5"
"Corn_nonGMO",142.94,135.729128782292,110,93.0877736822225,88.3917897171627,200,10,"Run5"
"Corn",1.78846153846154,3.02703547831575,0,1.16471178768481,1.97131659111176,520,26,"Run5"
"Soybeans_nonGMO",399.4,53.8520194607407,403,260.103937377079,35.0704113606554,20,1,"Run5"
"Soybeans",2.11904761904762,2.90731737707904,2,260.103937377079,35.0704113606554,420,21,"Run5"
"Developed/Open Space/Developed/Low Intensity",3.775,5.33691936732544,2,2.45841853680139,3.47559774888667,480,24,"Run5"
"Other",0.7375,1.31571035946366,0,0.480287065136695,0.856838870666777,160,8,"Run5"
"Forest",0.2,0.6,0,0.130247339698087,0.39074201909426,60,3,"Run5"
"MWROW0",0,0,0,0,0,2000,100,"Run5"
"High Intensity",0,0,0,0,0,20,1,"Run5"
