"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.75,7.29530671048175,30.25,7.29530671048175
"2",2,19.748,7.22554468535072,28.252,7.22554468535072
"3",3,18.498,6.98713074158485,27.502,6.98713074158485
"4",4,17.616,6.98659745512793,26.384,6.98659745512793
"5",5,16.546,6.68804037069155,25.454,6.68804037069155
"6",6,15.906,6.29882242962921,24.094,6.29882242962921
"7",7,14.434,6.04711865271387,23.566,6.04711865271387
"8",8,13.154,5.75224165000046,22.846,5.75224165000046
"9",9,12.274,5.45315725062096,21.726,5.45315725062096
"10",10,11.284,5.53166737973281,20.716,5.53166737973281
