"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",8.39470899470899,6.19871752779476,8,5.27272721230387,3.89342222711812,3780,189,"Run11"
"MWROW20-60",7.91384615384615,5.69360983027537,6,4.97069666091712,3.57616345096123,2600,130,"Run11"
"MWROW5-20",5.92814814814815,4.62513506272222,4,3.7234772615716,2.90505311395152,2700,135,"Run11"
"MWROW1-5",3.77450980392157,3.44140550045055,2,2.37077432568405,2.16155109631968,1020,51,"Run11"
"Grass/Pasure",76.772,79.6654254742922,44,48.2205891589724,50.03795331593,500,25,"Run11"
"Corn_nonGMO",172.07,160.956065744662,136,108.07738207399,101.096706076667,200,10,"Run11"
"Corn",1.63076923076923,2.6227949318309,0,1.02428819217966,1.64738077497073,520,26,"Run11"
"Soybeans_nonGMO",530.9,89.5890060219445,533,333.458953583318,56.270966661607,20,1,"Run11"
"Soybeans",2.03333333333333,2.9582545261133,0,333.458953583318,56.270966661607,420,21,"Run11"
"Developed/Open Space/Developed/Low Intensity",3.67916666666667,5.0782607887828,2,2.31088918200281,3.18966194886175,480,24,"Run11"
"Other",0.8875,1.59290418732578,0,0.55743985930532,1.00050511106449,160,8,"Run11"
"Forest",0.3,0.802080627701064,0,0.188430374976446,0.50378784479685,60,3,"Run11"
"MWROW0",0,0,0,0,0,2000,100,"Run11"
"High Intensity",0,0,0,0,0,20,1,"Run11"
