"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,21.242,7.39496017568722,28.758,7.39496017568722
"2",2,21.354,7.3796127269661,26.646,7.3796127269661
"3",3,20.626,7.10915775602145,25.374,7.10915775602145
"4",4,19.026,6.79641993993897,24.974,6.79641993993897
"5",5,17.628,6.53403520039493,24.372,6.53403520039493
"6",6,16.808,6.49516250758978,23.192,6.49516250758978
"7",7,15.738,6.40494777496273,22.262,6.40494777496273
"8",8,14.566,5.89878326436902,21.434,5.89878326436902
"9",9,13.394,5.53360316611157,20.606,5.53360316611157
"10",10,12.008,5.66038302590911,19.992,5.66038302590911
