"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",13.0968253968254,11.4216049093358,10,7.26004201691024,6.33140696541819,3780,189,"Run19"
"MWROW20-60",12.6330769230769,10.2651380781416,10,7.00296953539819,5.69033574920821,2600,130,"Run19"
"MWROW5-20",9.36518518518518,8.7731055232034,8,5.19145944765138,4.86324836648451,2700,135,"Run19"
"MWROW1-5",5.07450980392157,5.14403683460628,4,2.8129835494809,2.8515248866972,1020,51,"Run19"
"Grass/Pasure",59.38,62.3624855181382,40,32.916472649061,34.5697717899168,500,25,"Run19"
"Corn_nonGMO",139.06,134.670250612375,99,77.0859664294108,74.6525702412334,200,10,"Run19"
"Corn",1.15384615384615,2.04360743807287,0,0.63961848036883,1.13284520614252,520,26,"Run19"
"Soybeans_nonGMO",353.2,90.5392732464757,366,195.791480964101,50.1891800519278,20,1,"Run19"
"Soybeans",1.51904761904762,2.28183698921537,0,195.791480964101,50.1891800519278,420,21,"Run19"
"Developed/Open Space/Developed/Low Intensity",3.475,5.31579799591118,2,1.92631765671079,2.9467382846134,480,24,"Run19"
"Other",0.65,1.33322916259734,0,0.360318410607774,0.739056942835395,160,8,"Run19"
"Forest",0.1,0.435889894354067,0,0.0554336016319652,0.241629467590228,60,3,"Run19"
"MWROW0",0,0,0,0,0,2000,100,"Run19"
"High Intensity",0,0,0,0,0,20,1,"Run19"
