"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,21.402,9.75819634973595,28.598,9.75819634973595
"2",2,23.162,8.85741248898345,24.838,8.85741248898345
"3",3,22.454,8.18082416386027,23.546,8.18082416386027
"4",4,21.27,7.66336088149319,22.73,7.66336088149319
"5",5,20.01,7.45787503247406,21.99,7.45787503247406
"6",6,19.332,7.35511903370707,20.668,7.35511903370707
"7",7,17.744,6.96724220908101,20.256,6.96724220908101
"8",8,16.7,6.616796808124,19.3,6.616796808124
"9",9,15.48,6.29615755838432,18.52,6.29615755838432
"10",10,14.416,6.12559744025022,17.584,6.12559744025022
