"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",10.2375661375661,7.69853049965326,8,4.92545881047204,3.70388765920291,3780,189,"Run13"
"MWROW20-60",9.92692307692308,7.09274047569917,8,4.77600340482226,3.4124322712048,2600,130,"Run13"
"MWROW5-20",7.67555555555556,6.10075243284905,6,3.69283404164328,2.93517076393988,2700,135,"Run13"
"MWROW1-5",4.54901960784314,4.14120246575323,4,2.18860697995821,1.99239955051875,1020,51,"Run13"
"Grass/Pasure",102.976,115.656558067409,58,49.5434207361078,55.6442425149912,500,25,"Run13"
"Corn_nonGMO",228.42,210.78421098365,185,109.896560019245,101.411696407818,200,10,"Run13"
"Corn",1.97692307692308,2.9585999407604,0,0.951129697822024,1.42343032993043,520,26,"Run13"
"Soybeans_nonGMO",801.7,128.286047565587,795,385.710849170075,61.7204943784397,20,1,"Run13"
"Soybeans",2.3952380952381,3.5464235761406,0,385.710849170075,61.7204943784397,420,21,"Run13"
"Developed/Open Space/Developed/Low Intensity",5.32916666666667,7.41001457301011,2,2.56394836019565,3.56507797594905,480,24,"Run13"
"Other",1.1,1.57797338380595,0,0.529227808515757,0.759188541643469,160,8,"Run13"
"Forest",0.0666666666666667,0.3590109871423,0,0.0320744126373186,0.172725998143998,60,3,"Run13"
"MWROW0",0,0,0,0,0,2000,100,"Run13"
"High Intensity",0,0,0,0,0,20,1,"Run13"
