"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,43.862,11.5468158381434,6.138,11.5468158381434
"2",2,45.948,5.20819508083175,2.052,5.20819508083175
"3",3,44.492,4.21401661126294,1.508,4.21401661126294
"4",4,43.014,3.21493452499425,0.986,3.21493452499425
"5",5,41.196,2.84703073394019,0.804,2.84703073394019
"6",6,39.378,2.46923388928631,0.622,2.46923388928631
"7",7,37.6,1.981918262694,0.4,1.981918262694
"8",8,35.768,1.34245148888144,0.232,1.34245148888144
"9",9,33.842,1.12562693642254,0.158,1.12562693642254
"10",10,31.888,1.12225487301237,0.112,1.12225487301237
