"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.238,7.14194343298797,30.762,7.14194343298797
"2",2,18.744,7.07548330504708,29.256,7.07548330504708
"3",3,18.002,7.16854211119667,27.998,7.16854211119667
"4",4,16.916,6.74632818650264,27.084,6.74632818650264
"5",5,16.216,6.46972518736306,25.784,6.46972518736306
"6",6,14.726,6.14401529946012,25.274,6.14401529946012
"7",7,13.876,5.73555786301559,24.124,5.73555786301559
"8",8,12.924,5.89662818905856,23.076,5.89662818905856
"9",9,11.958,5.47669937097153,22.042,5.47669937097153
"10",10,10.954,5.24193513885855,21.046,5.24193513885855
