"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.918,8.24216452153195,30.082,8.24216452153195
"2",2,19.98,8.22870585207662,28.02,8.22870585207662
"3",3,19.156,7.83732505386883,26.844,7.83732505386883
"4",4,18.12,7.84051018748142,25.88,7.84051018748142
"5",5,17.11,7.51398030340778,24.89,7.51398030340778
"6",6,16.494,7.12965384853991,23.506,7.12965384853991
"7",7,14.462,6.54939355971223,23.538,6.54939355971223
"8",8,13.694,6.42918066319496,22.306,6.42918066319496
"9",9,12.734,6.20848161791593,21.266,6.20848161791593
"10",10,11.726,5.92291516062825,20.274,5.92291516062825
