"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.392,7.30905848929943,30.608,7.30905848929943
"2",2,18.894,7.09117507892733,29.106,7.09117507892733
"3",3,18.172,6.94337209142647,27.828,6.94337209142647
"4",4,17.26,6.72936846962625,26.74,6.72936846962625
"5",5,15.958,6.59349952604836,26.042,6.59349952604836
"6",6,15.144,6.31658641989485,24.856,6.31658641989485
"7",7,14.226,5.99073651565481,23.774,5.99073651565481
"8",8,13.126,5.94845559788421,22.874,5.94845559788421
"9",9,12.308,5.73908842935879,21.692,5.73908842935879
"10",10,10.922,5.27578581824547,21.078,5.27578581824547
