"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",6.15079365079365,13.7859491348986,0,3.76439382767645,8.43724318818233,3780,189,"Run8"
"MWROW20-60",7.47846153846154,20.8942096675882,0,4.57694991153992,12.7876235771131,2600,130,"Run8"
"MWROW5-20",5.15185185185185,9.64614182594265,0,3.1530238881794,5.90360834910869,2700,135,"Run8"
"MWROW1-5",3.26078431372549,6.90258770548486,0,1.99565731527809,4.22450500354044,1020,51,"Run8"
"Grass/Pasure",77.792,114.743491039797,22,47.6100713612495,70.2250333793145,500,25,"Run8"
"Corn_nonGMO",176.76,229.82119658552,102,108.180226936118,140.654611910792,200,10,"Run8"
"Corn",1.43461538461538,2.58612307216395,0,0.878009831826986,1.58275277682409,520,26,"Run8"
"Soybeans_nonGMO",1206.1,268.458171788456,1221,738.154399794362,164.301119862697,20,1,"Run8"
"Soybeans",1.35714285714286,2.72485411205312,0,738.154399794362,164.301119862697,420,21,"Run8"
"Developed/Open Space/Developed/Low Intensity",7.62916666666667,12.8174678715762,0,4.66918409896732,7.8445156318936,480,24,"Run8"
"Other",0.725,1.47457621030586,0,0.443712743429991,0.902466559546778,160,8,"Run8"
"Forest",0,0,0,0,0,60,3,"Run8"
"MWROW0",0,0,0,0,0,2000,100,"Run8"
"High Intensity",0,0,0,0,0,20,1,"Run8"
