"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,19.624,7.45349743409092,30.376,7.45349743409092
"2",2,19.848,7.63524040224013,28.152,7.63524040224013
"3",3,18.51,7.1743919602988,27.49,7.1743919602988
"4",4,17.206,7.34449208591037,26.794,7.34449208591037
"5",5,16.678,6.89581873311647,25.322,6.89581873311647
"6",6,15.502,6.79264278466047,24.498,6.79264278466047
"7",7,14.398,6.09307771163309,23.602,6.09307771163309
"8",8,13.52,6.14895113007088,22.48,6.14895113007088
"9",9,12.428,5.87339901590212,21.572,5.87339901590212
"10",10,11.378,5.55491818121563,20.622,5.55491818121563
