"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,26.636,11.6407690467598,23.364,11.6407690467598
"2",2,25.948,11.5608518717264,22.052,11.5608518717264
"3",3,25.12,11.2275375750874,20.88,11.2275375750874
"4",4,23.756,10.8835869087356,20.244,10.8835869087356
"5",5,21.748,10.1015095901553,20.252,10.1015095901553
"6",6,20.378,10.0429635068539,19.622,10.0429635068539
"7",7,19.55,9.45312117768518,18.45,9.45312117768518
"8",8,18.064,8.8451062175646,17.936,8.8451062175646
"9",9,16.672,8.20660806911114,17.328,8.20660806911114
"10",10,15.452,7.99673033182938,16.548,7.99673033182938
