"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",15.642328042328,14.5003231811569,12,4.61510011929263,4.27816390642445,3780,189,"Run10"
"MWROW20-60",14.7769230769231,12.3225655324602,12,4.35977172135408,3.63564000863289,2600,130,"Run10"
"MWROW5-20",10.8985185185185,10.7656551653184,8,3.21549030162405,3.17629040276344,2700,135,"Run10"
"MWROW1-5",6.31372549019608,7.56485733592377,4,1.86279658527403,2.23192953753305,1020,51,"Run10"
"Grass/Pasure",189.176,251.285067252314,94,55.8143377254837,74.1389479056093,500,25,"Run10"
"Corn_nonGMO",396.91,385.257461835589,326,117.104013123344,113.666057460535,200,10,"Run10"
"Corn",2.14230769230769,2.83707230960736,2,0.632064770638787,0.837047574956882,520,26,"Run10"
"Soybeans_nonGMO",1209.3,346.200678797717,1224,356.790917512937,102.142775020127,20,1,"Run10"
"Soybeans",2.59047619047619,4.01116356018749,0,356.790917512937,102.142775020127,420,21,"Run10"
"Developed/Open Space/Developed/Low Intensity",10.15,15.269059128403,4,2.9946479887177,4.50497115354519,480,24,"Run10"
"Other",1.7,2.14709105535839,0,0.501566658208876,0.633476050297809,160,8,"Run10"
"Forest",0.366666666666667,0.773879117749593,0,0.108181043927405,0.228324684086645,60,3,"Run10"
"MWROW0",0,0,0,0,0,2000,100,"Run10"
"High Intensity",0,0,0,0,0,20,1,"Run10"
