"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,20.324,7.71278315525595,29.676,7.71278315525595
"2",2,19.908,7.17993983261698,28.092,7.17993983261698
"3",3,18.574,7.13432014981105,27.426,7.13432014981105
"4",4,17.75,7.1563608070024,26.25,7.1563608070024
"5",5,16.68,6.76946083525121,25.32,6.76946083525121
"6",6,15.126,6.27376473897452,24.874,6.27376473897452
"7",7,14.452,6.08898152403175,23.548,6.08898152403175
"8",8,13.296,5.84742541636916,22.704,5.84742541636916
"9",9,12.348,5.50625971054762,21.652,5.50625971054762
"10",10,11.698,5.43771974268627,20.302,5.43771974268627
