"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,25.45,8.83931558436512,24.55,8.83931558436512
"2",2,25.952,8.43692455815506,22.048,8.43692455815506
"3",3,23.896,8.06158694054713,22.104,8.06158694054713
"4",4,22.95,7.91135260243152,21.05,7.91135260243152
"5",5,21.628,7.79061075911254,20.372,7.79061075911254
"6",6,20.14,7.65169262320436,19.86,7.65169262320436
"7",7,19.292,7.2593895060122,18.708,7.2593895060122
"8",8,17.758,6.59586506835912,18.242,6.59586506835912
"9",9,15.898,6.64240890039148,18.102,6.64240890039148
"10",10,14.886,6.30388800661941,17.114,6.30388800661941
