"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",9.30582010582011,6.8466666658489,8,5.6580653650028,4.16286658104755,3780,189,"Run16"
"MWROW20-60",8.99,6.62186761942813,8,5.46604243935064,4.02618569917196,2600,130,"Run16"
"MWROW5-20",6.84962962962963,5.39378756601242,6,4.16466810338033,3.27949630085269,2700,135,"Run16"
"MWROW1-5",4.32352941176471,3.90891832163495,4,2.62876476668372,2.37667557708698,1020,51,"Run16"
"Grass/Pasure",72.44,78.1670928204446,43,44.0445065969478,47.5266570319478,500,25,"Run16"
"Corn_nonGMO",167.31,156.625361611713,123,101.726758679394,95.2303530198294,200,10,"Run16"
"Corn",1.66153846153846,2.54363109974651,0,1.0102380139469,1.54656235164255,520,26,"Run16"
"Soybeans_nonGMO",487.4,74.4636824230443,499,296.345838146774,45.2749330717118,20,1,"Run16"
"Soybeans",1.81904761904762,2.53463983496088,0,296.345838146774,45.2749330717118,420,21,"Run16"
"Developed/Open Space/Developed/Low Intensity",3.71666666666667,5.42399504260672,2,2.25978395249387,3.2978628580329,480,24,"Run16"
"Other",0.9625,1.44865239101725,0,0.585213108773637,0.880800383667083,160,8,"Run16"
"Forest",0.333333333333333,0.829993306532582,0,0.202671206501692,0.504647234469862,60,3,"Run16"
"MWROW0",0,0,0,0,0,2000,100,"Run16"
"High Intensity",0,0,0,0,0,20,1,"Run16"
