"run","tick","CumEggs"
1,10.0,20372.0
2,10.0,20100.0
3,10.0,20274.0
4,10.0,20300.0
5,10.0,20240.0
6,10.0,20310.0
7,10.0,20264.0
8,10.0,20354.0
9,10.0,20236.0
10,10.0,20360.0
11,10.0,20492.0
12,10.0,20172.0
13,10.0,20220.0
14,10.0,20402.0
15,10.0,20246.0
16,10.0,20348.0
17,10.0,20254.0
18,10.0,19960.0
19,10.0,20126.0
20,10.0,20156.0
